creator_id,periodo,periodo_inicio,periodo_fim,gmv_bruto,gmv_liquido,reembolso,refund_pct,pedidos,aov,videos,lives,comissao,tier,status_reembolso,comissao_calculada,_fonte,items_vendidos,items_reembolsados,media_diaria,amostras,gmv_atribuido_ao_criador
.FAMILIAPIMENTEL,2026-01,2026-01-06,2026-01-31,17337.15,15718.220000000001,1618.93,9.34,209,82.95,1,1,1557.32,Prata,sem_dado,1414.64,tiktok_seller_center,218,21,2,0,
.ITSMEBIBIAA,2026-01,2026-01-06,2026-01-31,92.9,92.9,0.0,0.0,1,92.9,0,0,9.75,Ferro,sem_dado,4.65,tiktok_seller_center,1,0,1,0,
893PATTY,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,4,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0,
A1INEO1IVEIRA,2026-01,2026-01-06,2026-01-31,239.7,239.7,0.0,0.0,3,79.9,0,0,23.97,Ferro,sem_dado,11.98,tiktok_seller_center,3,0,1,0,
ABEATRIZMOURA__,2026-01,2026-01-06,2026-01-31,80.7,80.7,0.0,0.0,1,80.7,1,1,7.99,Ferro,sem_dado,4.04,tiktok_seller_center,1,0,1,0,
ABIGAILRODRIGUESD,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,3,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0,
ABRAVALIRA,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,4,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0,
ABRENDAABREU,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0,
ABRUNAINDICAA,2026-01,2026-01-06,2026-01-31,473.7,244.22,229.48,48.44,5,94.74,2,0,47.16,Ferro,sem_dado,12.21,tiktok_seller_center,6,3,1,1,
ACHADINHOBRSS,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0,
ACHADINHODAGLE1,2026-01,2026-01-06,2026-01-31,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,Ferro,sem_dado,0.0,tiktok_seller_center,0,0,0,0,
